Nama,January,February,March,April,May,June,July,August,September,October,November,December
ac.id,3686,3750,3807,3850,3860,3857,3876,3931,3977,4028,4052,4072
biz.id,1097,1090,1135,1173,1173,1220,1345,1386,1532,1581,1621,1621
co.id,68581,69700,70687,71853,71979,75053,78025,81080,94682,95263,96328,97107
desa.id,3027,2985,2999,2831,2782,2202,2011,2087,2187,2513,2612,2693
go.id,3595,3624,3648,3665,3665,3702,3718,3739,3753,3764,3786,3794
id,27347,51503,52129,53191,53159,54584,58221,60158,63807,67603,68733,74515
mil.id,290,289,284,284,284,285,288,292,292,303,305,308
my.id,9547,9672,8224,6998,6567,5382,4970,4128,4180,4150,4177,5289
net.id,401,407,406,407,405,409,409,408,410,409,409,410
or.id,6793,6957,7083,7174,7195,7300,8027,8322,8781,9278,9525,9573
sch.id,15136,15344,15531,15672,16020,17014,17708,18103,18838,19046,19162,19309
web.id,23766,22849,22799,22743,22817,23385,22807,22629,23123,23211,23249,23769
ponpes.id,58,58,58,42,43,55,161,161,210,230,235,239
Reservasi Kominfo,0,0,0,0,0,0,0,0,0,0,964851,964851
Total,163324,188228,188790,189883,189949,194448,201566,206424,225772,231379,1199045,1207550
